OBJECTID,date,validOn,validTo,Shape__Area,Shape__Length,ADM2_EN,ADM2_AR,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM2ALT1_AR,ADM2ALT2_AR,ADM1_EN,ADM1_AR,ADM1_PCODE,ADM0_EN,ADM0_AR,ADM0_PCODE,AREA_SQKM
1,2020-04-30,2020-12-03,,0.22660160920659367,2.8538115388858443,Agadir Ida Outanane Prefecture, ,MA009001,,,,,,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,2408.08837891
2,2020-04-30,2020-12-03,,0.5768430582790601,4.8107804330037,Al Haouz Province, ,MA006001,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,6089.18359375
3,2020-04-30,2020-12-03,,0.3488202764112523,3.150652045600173,Al Hoceima Province, ,MA010001,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,3534.61376953
4,2020-04-30,2020-12-03,,1.5953227724366856,5.708814266921974,Assa Zag Province, ,MA005001,,,,,,Guelmim Oued Noun,كلميم - واد نون,MA005,Morocco,المغرب,MA,17364.73828125
5,2020-04-30,2020-12-03,,0.24663835944177645,3.6636646973306033,Berrechid Province, ,MA002001,,,,,,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,2549.24194336
6,2020-04-30,2020-12-03,,0.38457078824270485,3.3552952463156203,Chefchaouen Province, ,MA010002,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,3890.82788086
7,2020-04-30,2020-12-03,,0.6736445907397363,4.681385942025336,Chichaoua Province, ,MA006002,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,7110.11328125
8,2020-04-30,2020-12-03,,0.32732038354077525,3.0788242185218055,Chtouka Ait Baha Province, ,MA009002,,,,,,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,3499.79541016
9,2020-04-30,2020-12-03,,0.37317345525336276,4.479446164970803,El Jadida Province, ,MA002002,,,,,,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,3865.93017578
10,2020-04-30,2020-12-03,,0.6186984388780268,4.586593359218299,Essaouira Province, ,MA006003,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,6526.11230469
11,2020-04-30,2020-12-03,,0.07039782988925682,1.5203538818089712,Fahs Anjra Province, ,MA010003,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,706.47521973
12,2020-04-30,2020-12-03,,1.0037217112308774,6.5976079467249145,Guelmim Province, ,MA005002,,,,,,Guelmim Oued Noun,كلميم - واد نون,MA005,Morocco,المغرب,MA,10854.62402344
13,2020-04-30,2020-12-03,,0.025940288398260007,1.1126528026073876,Inezgane Ait Melloul Prefecture, ,MA009003,,,,,,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,276.52148438
14,2020-04-30,2020-12-03,,0.2690928181929418,2.847223807391319,Larache Province, ,MA010004,,,,,,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,2719.57763672
15,2020-04-30,2020-12-03,,0.022107893285560006,0.7657436944593836,Mediouna Province, ,MA002003,,,,,,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,227.86857605
16,2020-04-30,2020-12-03,,0.04904884979737501,1.2359632477844287,Nouaceur Province, ,MA002004,,,,,,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,505.96237183
17,2020-04-30,2020-12-03,,1.1327756029562008,6.21600034989666,Ouarzazate Province, ,MA003001,,,,,,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,12004.83300781
