date,ADM2_PCODE,rfh_avg
1981-01-01,MA008006,30.1168
1981-01-11,MA008006,27.2206
1981-01-21,MA008006,34.1533
1981-02-01,MA008006,30.4712
1981-02-11,MA008006,29.4363
1981-02-21,MA008006,22.9097
1981-03-01,MA008006,31.4523
1981-03-11,MA008006,22.928
1981-03-21,MA008006,26.1505
1981-04-01,MA008006,21.0701
1981-04-11,MA008006,18.8525
1981-04-21,MA008006,19.6262
1981-05-01,MA008006,11.749
1981-05-11,MA008006,9.7329
1981-05-21,MA008006,9.7335
1981-06-01,MA008006,2.0095
1981-06-11,MA008006,2.068
1981-06-21,MA008006,1.4037
1981-07-01,MA008006,0.849
1981-07-11,MA008006,0.0
1981-07-21,MA008006,0.0
1981-08-01,MA008006,0.0196
1981-08-11,MA008006,0.1043
1981-08-21,MA008006,1.1987
1981-09-01,MA008006,3.5391
1981-09-11,MA008006,4.857
1981-09-21,MA008006,7.2869
1981-10-01,MA008006,16.98
1981-10-11,MA008006,18.6178
1981-10-21,MA008006,30.7329
1981-11-01,MA008006,23.2411
1981-11-11,MA008006,25.2034
1981-11-21,MA008006,41.8486
1981-12-01,MA008006,31.252
1981-12-11,MA008006,29.9041
1981-12-21,MA008006,41.3024
1982-01-01,MA008006,30.1168
1982-01-11,MA008006,27.2206
1982-01-21,MA008006,34.1533
1982-02-01,MA008006,30.4712
1982-02-11,MA008006,29.4363
1982-02-21,MA008006,22.9097
1982-03-01,MA008006,31.4523
1982-03-11,MA008006,22.928
1982-03-21,MA008006,26.1505
1982-04-01,MA008006,21.0701
1982-04-11,MA008006,18.8525
1982-04-21,MA008006,19.6262
1982-05-01,MA008006,11.749
1982-05-11,MA008006,9.7329
1982-05-21,MA008006,9.7335
1982-06-01,MA008006,2.0095
1982-06-11,MA008006,2.068
1982-06-21,MA008006,1.4037
1982-07-01,MA008006,0.849
1982-07-11,MA008006,0.0
1982-07-21,MA008006,0.0
1982-08-01,MA008006,0.0196
1982-08-11,MA008006,0.1043
1982-08-21,MA008006,1.1987
1982-09-01,MA008006,3.5391
1982-09-11,MA008006,4.857
1982-09-21,MA008006,7.2869
1982-10-01,MA008006,16.98
1982-10-11,MA008006,18.6178
1982-10-21,MA008006,30.7329
1982-11-01,MA008006,23.2411
1982-11-11,MA008006,25.2034
1982-11-21,MA008006,41.8486
1982-12-01,MA008006,31.252
1982-12-11,MA008006,29.9041
1982-12-21,MA008006,41.3024
1983-01-01,MA008006,30.1168
1983-01-11,MA008006,27.2206
1983-01-21,MA008006,34.1533
1983-02-01,MA008006,30.4712
1983-02-11,MA008006,29.4363
1983-02-21,MA008006,22.9097
1983-03-01,MA008006,31.4523
1983-03-11,MA008006,22.928
1983-03-21,MA008006,26.1505
1983-04-01,MA008006,21.0701
1983-04-11,MA008006,18.8525
1983-04-21,MA008006,19.6262
1983-05-01,MA008006,11.749
1983-05-11,MA008006,9.7329
1983-05-21,MA008006,9.7335
1983-06-01,MA008006,2.0095
1983-06-11,MA008006,2.068
1983-06-21,MA008006,1.4037
1983-07-01,MA008006,0.849
1983-07-11,MA008006,0.0
1983-07-21,MA008006,0.0
1983-08-01,MA008006,0.0196
1983-08-11,MA008006,0.1043
1983-08-21,MA008006,1.1987
1983-09-01,MA008006,3.5391
1983-09-11,MA008006,4.857
1983-09-21,MA008006,7.2869
1983-10-01,MA008006,16.98
1983-10-11,MA008006,18.6178
1983-10-21,MA008006,30.7329
1983-11-01,MA008006,23.2411
1983-11-11,MA008006,25.2034
1983-11-21,MA008006,41.8486
1983-12-01,MA008006,31.252
1983-12-11,MA008006,29.9041
1983-12-21,MA008006,41.3024
1984-01-01,MA008006,30.1168
1984-01-11,MA008006,27.2206
1984-01-21,MA008006,34.1533
1984-02-01,MA008006,30.4712
1984-02-11,MA008006,29.4363
1984-02-21,MA008006,22.9097
1984-03-01,MA008006,31.4523
1984-03-11,MA008006,22.928
1984-03-21,MA008006,26.1505
1984-04-01,MA008006,21.0701
1984-04-11,MA008006,18.8525
1984-04-21,MA008006,19.6262
1984-05-01,MA008006,11.749
1984-05-11,MA008006,9.7329
1984-05-21,MA008006,9.7335
1984-06-01,MA008006,2.0095
1984-06-11,MA008006,2.068
1984-06-21,MA008006,1.4037
1984-07-01,MA008006,0.849
1984-07-11,MA008006,0.0
1984-07-21,MA008006,0.0
1984-08-01,MA008006,0.0196
1984-08-11,MA008006,0.1043
1984-08-21,MA008006,1.1987
1984-09-01,MA008006,3.5391
1984-09-11,MA008006,4.857
1984-09-21,MA008006,7.2869
1984-10-01,MA008006,16.98
1984-10-11,MA008006,18.6178
1984-10-21,MA008006,30.7329
1984-11-01,MA008006,23.2411
1984-11-11,MA008006,25.2034
1984-11-21,MA008006,41.8486
1984-12-01,MA008006,31.252
1984-12-11,MA008006,29.9041
1984-12-21,MA008006,41.3024
1985-01-01,MA008006,30.1168
1985-01-11,MA008006,27.2206
1985-01-21,MA008006,34.1533
1985-02-01,MA008006,30.4712
1985-02-11,MA008006,29.4363
1985-02-21,MA008006,22.9097
1985-03-01,MA008006,31.4523
1985-03-11,MA008006,22.928
1985-03-21,MA008006,26.1505
1985-04-01,MA008006,21.0701
1985-04-11,MA008006,18.8525
1985-04-21,MA008006,19.6262
1985-05-01,MA008006,11.749
1985-05-11,MA008006,9.7329
1985-05-21,MA008006,9.7335
1985-06-01,MA008006,2.0095
1985-06-11,MA008006,2.068
1985-06-21,MA008006,1.4037
1985-07-01,MA008006,0.849
1985-07-11,MA008006,0.0
1985-07-21,MA008006,0.0
1985-08-01,MA008006,0.0196
1985-08-11,MA008006,0.1043
1985-08-21,MA008006,1.1987
1985-09-01,MA008006,3.5391
1985-09-11,MA008006,4.857
1985-09-21,MA008006,7.2869
1985-10-01,MA008006,16.98
1985-10-11,MA008006,18.6178
1985-10-21,MA008006,30.7329
1985-11-01,MA008006,23.2411
1985-11-11,MA008006,25.2034
1985-11-21,MA008006,41.8486
1985-12-01,MA008006,31.252
1985-12-11,MA008006,29.9041
1985-12-21,MA008006,41.3024
1986-01-01,MA008006,30.1168
1986-01-11,MA008006,27.2206
1986-01-21,MA008006,34.1533
1986-02-01,MA008006,30.4712
1986-02-11,MA008006,29.4363
1986-02-21,MA008006,22.9097
1986-03-01,MA008006,31.4523
1986-03-11,MA008006,22.928
1986-03-21,MA008006,26.1505
1986-04-01,MA008006,21.0701
1986-04-11,MA008006,18.8525
1986-04-21,MA008006,19.6262
1986-05-01,MA008006,11.749
1986-05-11,MA008006,9.7329
1986-05-21,MA008006,9.7335
1986-06-01,MA008006,2.0095
1986-06-11,MA008006,2.068
1986-06-21,MA008006,1.4037
1986-07-01,MA008006,0.849
1986-07-11,MA008006,0.0
1986-07-21,MA008006,0.0
1986-08-01,MA008006,0.0196
