ADM2_PCODE,rwi_points_count
MA008005,1483
MA006008,1061
MA008007,306
MA008004,688
MA009004,2142
MA005004,490
MA009005,223
MA003002,658
MA006006,914
MA006007,582
MA004006,312
MA007007,583
MA010002,882
MA008001,224
MA002009,1414
MA009002,638
MA010005,56
MA004009,1174
MA010007,488
MA010003,173
MA010001,813
MA002007,524
MA007004,230
MA008006,666
MA002003,56
MA007001,327
MA001005,919
MA005003,6
MA009006,736
MA006002,1154
MA002008,740
MA005002,161
MA009001,380
MA006001,1076
MA009003,55
MA010004,529
MA002004,118
MA003001,687
MA006004,532
MA002006,67
MA006003,1270
MA008002,28
MA001001,1654
MA001002,852
MA005001,7
MA004005,754
MA001003,523
MA007005,767
MA007006,258
MA001004,1266
MA004003,435
MA006005,798
MA003003,868
MA004007,550
MA007008,683
MA003004,654
MA004004,555
MA010008,435
MA003005,683
MA004002,376
MA010006,222
MA007002,320
MA007003,519
MA004008,1314
MA008003,154
MA002005,53
MA002001,587
MA002002,896
