quadkey,latitude,longitude,rwi,error
3311302230220,34.4793915,-5.2624512,0.008,0.543
3313010222013,30.8739398,-8.3605957,-0.276,0.441
3311302201033,34.8228222,-5.3723145,-0.204,0.471
3313011101323,31.8122286,-6.0314941,-0.894,0.385
3313012033332,30.1546268,-7.767334,-0.251,0.388
3311223130011,32.8334424,-8.7121582,-0.348,0.482
3311223303313,32.2964193,-8.8000488,-0.25,0.459
3311223231112,32.2220954,-9.173584,-0.512,0.486
3313101022222,31.363018,-4.2077637,-0.268,0.428
3311232130200,32.7595615,-7.3718262,-0.566,0.408
3313010000012,31.9241921,-8.3825684,-0.25,0.416
3311232203101,32.3892386,-8.1408691,-0.598,0.463
3311231123012,33.8430448,-6.0974121,0.215,0.526
3311232302310,32.3149908,-7.5915527,-0.892,0.44
3311302210222,34.7506393,-5.2624512,-0.283,0.553
3313011200222,31.212801,-7.0202637,-0.401,0.384
3311230302321,33.4589423,-7.6135254,0.387,0.549
3311321121232,33.8795365,-3.2849121,-0.458,0.428
3313010001332,31.8122286,-8.1188965,-0.033,0.552
3313003232310,29.6021178,-9.3493652,-0.427,0.424
3313010020001,31.6440285,-8.404541,-0.822,0.43
3313011201131,31.3067147,-6.6906738,-0.696,0.411
3311233101313,33.0362977,-5.9875488,-0.562,0.389
3311312301213,34.7867387,-1.8566895,0.133,0.502
3311232313123,32.3335585,-7.0861816,-0.35,0.424
3311231231322,33.2938031,-6.4050293,-0.652,0.395
3313003111302,30.6473638,-8.5144043,-0.07,0.44
3311322002122,32.925707,-5.526123,0.146,0.455
3311230312000,33.5688607,-7.3718262,0.572,0.544
3313001302213,31.0999813,-9.0637207,-0.282,0.413
3311320110132,34.2435942,-4.4274902,-0.343,0.442
3311231321320,33.3121674,-6.0534668,-0.37,0.42
3311303320112,34.5699059,-3.3728027,0.207,0.467
3313001122010,31.4942613,-9.0856934,-0.473,0.483
3313011010230,31.8308986,-6.6247559,-0.684,0.427
3313101200210,31.2691604,-4.1638184,0.063,0.428
3311230222013,33.2570629,-8.3605957,-0.1,0.495
3313003330231,29.7166808,-8.7121582,-0.175,0.415
3313001222211,30.8173458,-9.7668457,0.578,0.501
3313010033301,31.4192877,-7.7893066,-0.067,0.539
3313003212013,29.9644524,-9.4152832,-0.503,0.493
3311312022311,34.9489902,-2.6477051,-0.162,0.479
3311223301133,32.4819627,-8.8000488,-0.732,0.449
3313100003222,31.6627324,-5.4382324,-0.245,0.433
3313003001003,30.7229484,-9.6350098,-0.427,0.489
3313012101011,30.7418353,-7.4816895,-0.394,0.387
3311303021300,35.0929448,-3.9440918,-0.082,0.531
3311231013332,34.0253472,-6.361084,-0.568,0.511
3311233002032,32.925707,-6.9763184,-0.661,0.48
3311233113223,32.851903,-5.7678223,-0.308,0.394
3311233012223,32.851903,-6.6467285,0.208,0.523
3311302211111,34.876918,-4.9328613,0.06,0.471
3311231121001,34.0071346,-6.1193848,0.016,0.493
3313020111303,29.430029,-9.8986816,0.057,0.466
3313003003323,30.4581439,-9.5471191,-0.121,0.537
3311303200322,34.7506393,-4.119873,-0.411,0.434
3313001131033,31.587894,-8.536377,0.195,0.459
3313003330222,29.697596,-8.7780762,-0.257,0.418
3311233122101,32.6856194,-6.2072754,-0.444,0.414
3313003213210,29.9073289,-9.2614746,-0.695,0.399
3311231101100,34.2980679,-6.0534668,-0.52,0.513
3311231010330,34.1890853,-6.5368652,-0.665,0.476
3311223312021,32.3521223,-8.7561035,-0.581,0.477
3313011100232,31.8122286,-6.2731934,-0.604,0.387
3311232102120,32.9441484,-7.635498,0.184,0.469
3313021010210,29.4491644,-9.4372559,-0.728,0.536
3311302331201,34.515609,-4.3615723,-0.217,0.425
3311233102102,32.962586,-6.229248,-0.751,0.407
3311303311000,34.876918,-2.9772949,-0.406,0.409
3313101200030,31.3067147,-4.1638184,-0.397,0.416
3311232013311,32.9072618,-7.7453613,-0.441,0.445
3313001300023,31.2879394,-9.107666,-0.598,0.395
3313012000131,30.7040578,-8.2727051,-0.49,0.488
3313001232012,30.8739398,-9.4372559,-0.346,0.417
3313010313110,31.194007,-7.064209,-0.472,0.385
3313011303022,31.1376028,-6.1413574,-0.608,0.391
3311233002132,32.925707,-6.8884277,-0.471,0.487
3313011212230,31.081165,-6.6247559,-0.196,0.509
3311233231131,32.2035049,-6.3391113,-0.485,0.423
3311232202321,32.277844,-8.3166504,0.263,0.531
3311233010021,33.0915411,-6.6467285,-0.195,0.456
3311231333003,33.2570629,-5.7678223,-0.881,0.393
3311320300210,33.642062,-4.8669434,0.126,0.47
3311302231301,34.515609,-4.9768066,-0.416,0.52
3311321020122,33.9524731,-4.119873,-0.393,0.403
3313101000021,31.905541,-4.185791,-0.205,0.49
3311322210122,32.4819627,-5.1745605,-0.649,0.396
3311230333320,33.1651449,-7.1081543,0.028,0.434
3311321002021,34.116352,-4.185791,-0.193,0.391
3311213302031,34.6964607,-6.2512207,-0.369,0.554
3311233133102,32.6671243,-5.7019043,-0.13,0.403
3313001102112,31.7748771,-8.9978027,-0.281,0.43
3311231310110,33.7152012,-5.8337402,-0.601,0.408
3311211331122,35.684071,-5.7019043,0.134,0.512
3313010120300,31.569175,-7.635498,-0.199,0.495
3311312210223,34.7506393,-2.4279785,-0.246,0.511
3311320022133,33.8065375,-5.4602051,0.004,0.483
3311320132011,33.8612926,-4.4934082,0.228,0.545
3311213103231,35.2007443,-6.0754395,0.151,0.497
3311233010332,32.9994495,-6.5368652,-0.284,0.434
3311303302010,34.7325837,-3.4606934,-0.226,0.478
3313012311002,30.1166211,-7.1960449,-0.548,0.406
3311230321311,33.3488843,-7.3937988,-0.269,0.552
3313003120310,30.3633958,-8.9978027,0.487,0.553
3311233022100,32.6856194,-6.932373,0.021,0.459
3311230313211,33.4955973,-7.130127,0.045,0.51
3313003031030,30.4013061,-9.2614746,0.063,0.52
3311302232200,34.3706444,-5.2624512,-0.612,0.459
3313012032212,30.1926178,-8.0310059,-0.772,0.4
3311300221302,35.6483687,-5.3503418,-0.255,0.56
3313011333311,30.8173458,-5.6359863,-0.421,0.469
3313003103321,30.4770825,-8.8439941,0.527,0.54
3313001323302,30.7984737,-8.8659668,-0.515,0.402
3311213330203,34.4975022,-5.9436035,-0.136,0.484
3313003321302,29.735762,-8.8659668,-0.047,0.494
3311232121103,32.8149779,-7.4377441,-0.473,0.464
3311213110330,35.3442547,-5.8337402,-0.444,0.429
3311302020001,35.164827,-5.592041,-0.549,0.498
3311230222220,33.1651449,-8.4265137,-0.421,0.469
3311312301021,34.8408581,-1.9006348,-0.009,0.489
3311233121101,32.8334424,-6.0314941,-0.149,0.39
3311233212301,32.3149908,-6.5588379,0.315,0.497
3311320012331,34.043556,-5.1086426,0.38,0.521
3311223110303,33.0362977,-8.6682129,-0.488,0.468
3311231110113,34.2799139,-5.8117676,-0.608,0.52
3311230233001,33.2754349,-7.8771973,-0.094,0.548
3311231110131,34.261756,-5.8117676,-0.221,0.492
3311302321003,34.5699059,-4.7131348,-0.131,0.488
3311231110121,34.261756,-5.8557129,0.172,0.501
3311233101222,32.9994495,-6.1413574,-0.128,0.389
3311232302022,32.3335585,-7.7233887,-0.261,0.419
3311320103231,34.043556,-4.6691895,-0.319,0.437
3311233121110,32.8334424,-6.0095215,-0.382,0.406
3311231122032,33.8065375,-6.2731934,0.206,0.52
