quadkey,latitude,longitude,rwi,error,geometry,index_right,ADM2_PCODE
3311231211311,33.642062,-6.3391113,-0.357,0.466,POINT (-6.3391113 33.642062),0.0,MA008005
3311303023030,34.9850026,-3.9880371,-0.363,0.422,POINT (-3.9880371 34.9850026),20.0,MA010001
3311320002300,34.0799618,-5.526123,0.72,0.586,POINT (-5.526123 34.0799618),59.0,MA004002
3311233011321,33.0178755,-6.3830566,-0.148,0.391,POINT (-6.3830566 33.0178755),26.0,MA001005
3311303133111,35.0209992,-2.8234863,-0.025,0.448,POINT (-2.8234863 35.0209992),11.0,MA007007
3313010101213,31.8495649,-7.4816895,-0.117,0.461,POINT (-7.4816895 31.8495649),51.0,MA006005
3311232101031,33.0915411,-7.4816895,-0.456,0.443,POINT (-7.4816895 33.0915411),66.0,MA002001
3313001322101,30.892797,-9.0197754,-0.609,0.421,POINT (-9.0197754 30.892797),29.0,MA006002
3311233233102,32.0732651,-6.4050293,-0.433,0.39,POINT (-6.4050293 32.0732651),42.0,MA001001
3311232321121,32.2035049,-7.4377441,-0.436,0.447,POINT (-7.4377441 32.2035049),51.0,MA006005
3311232202122,32.3335585,-8.338623,0.292,0.443,POINT (-8.338623 32.3335585),1.0,MA006008
3313011011033,31.8868861,-6.427002,-0.131,0.427,POINT (-6.427002 31.8868861),42.0,MA001001
3311302323133,34.3887788,-4.5812988,0.112,0.394,POINT (-4.5812988 34.3887788),63.0,MA004008
3313003112203,30.4960174,-8.7561035,0.53,0.496,POINT (-8.7561035 30.4960174),4.0,MA009004
3311300203002,35.8623432,-5.4382324,0.315,0.504,POINT (-5.4382324 35.8623432),19.0,MA010003
3313001133133,31.4380367,-8.4484863,-0.753,0.433,POINT (-8.4484863 31.4380367),29.0,MA006002
3311303222212,34.3525062,-4.1638184,-0.107,0.446,POINT (-4.1638184 34.3525062),17.0,MA004009
3313003111332,30.6095493,-8.470459,-0.007,0.524,POINT (-8.470459 30.6095493),4.0,MA009004
3311231013133,34.0981589,-6.3391113,-0.024,0.481,POINT (-6.3391113 34.0981589),0.0,MA008005
3311213122223,34.894942,-6.295166,0.69,0.567,POINT (-6.295166 34.894942),,
3311231202212,33.4772717,-6.9763184,-0.955,0.459,POINT (-6.9763184 33.4772717),21.0,MA002007
3311223310300,32.4634255,-8.6901855,-0.39,0.447,POINT (-8.6901855 32.4634255),8.0,MA006006
3313011222133,30.8362142,-6.8664551,-0.713,0.383,POINT (-6.8664551 30.8362142),37.0,MA003001
3311213330310,34.515609,-5.8337402,0.202,0.429,POINT (-5.8337402 34.515609),23.0,MA008006
3311312021202,35.0749644,-2.6257324,-0.06,0.475,POINT (-2.6257324 35.0749644),11.0,MA007007
3311232033112,32.6671243,-7.767334,0.304,0.47,POINT (-7.767334 32.6671243),14.0,MA002009
3313021010200,29.4491644,-9.4812012,-0.372,0.408,POINT (-9.4812012 29.4491644),28.0,MA009006
3311223130013,32.8149779,-8.7121582,0.254,0.459,POINT (-8.7121582 32.8149779),67.0,MA002002
3311312230023,34.5337119,-2.4279785,-0.861,0.429,POINT (-2.4279785 34.5337119),54.0,MA007008
3311312213110,34.7325837,-2.142334,-0.547,0.437,POINT (-2.142334 34.7325837),25.0,MA007001
3313011010313,31.8495649,-6.5148926,-0.314,0.427,POINT (-6.5148926 31.8495649),42.0,MA001001
